#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.863252E-02   0.407482E+06   0.401457E+06   0.245368E+05   0.217466E+05   0.104207E+06   0.400713E+06   0.406523E+06   0.400929E+06  -0.490115E+00   0.401457E+06   0.400594E+06   0.134545E+03
   0.872897E-02   0.406408E+06   0.400259E+06   0.237001E+05   0.208936E+05   0.102881E+06   0.399615E+06   0.405429E+06   0.399823E+06  -0.488755E+00   0.400350E+06   0.399471E+06   0.135601E+03
   0.882650E-02   0.405323E+06   0.399048E+06   0.228227E+05   0.200371E+05   0.101561E+06   0.398506E+06   0.404325E+06   0.398707E+06  -0.487382E+00   0.399235E+06   0.398339E+06   0.136661E+03
   0.892512E-02   0.404229E+06   0.397825E+06   0.219109E+05   0.191834E+05   0.100246E+06   0.397388E+06   0.403210E+06   0.397581E+06  -0.485997E+00   0.398110E+06   0.397196E+06   0.137725E+03
   0.902484E-02   0.403125E+06   0.396590E+06   0.209716E+05   0.183389E+05   0.989345E+05   0.396259E+06   0.402085E+06   0.396444E+06  -0.484600E+00   0.396975E+06   0.396044E+06   0.138794E+03
   0.912567E-02   0.402011E+06   0.395342E+06   0.200121E+05   0.175098E+05   0.976254E+05   0.395121E+06   0.400950E+06   0.395297E+06  -0.483190E+00   0.395831E+06   0.394883E+06   0.139867E+03
   0.922763E-02   0.400887E+06   0.394081E+06   0.190405E+05   0.167026E+05   0.963177E+05   0.393972E+06   0.399804E+06   0.394139E+06  -0.481768E+00   0.394677E+06   0.393711E+06   0.140943E+03
   0.933074E-02   0.399752E+06   0.392808E+06   0.180650E+05   0.159231E+05   0.950108E+05   0.392812E+06   0.398647E+06   0.392971E+06  -0.480333E+00   0.393514E+06   0.392529E+06   0.142023E+03
   0.943499E-02   0.398608E+06   0.391522E+06   0.170939E+05   0.151771E+05   0.937039E+05   0.391642E+06   0.397480E+06   0.391793E+06  -0.478885E+00   0.392341E+06   0.391337E+06   0.143107E+03
   0.954041E-02   0.397453E+06   0.390223E+06   0.161359E+05   0.144699E+05   0.923967E+05   0.390462E+06   0.396302E+06   0.390604E+06  -0.477425E+00   0.391158E+06   0.390136E+06   0.144194E+03
   0.964700E-02   0.396288E+06   0.388912E+06   0.151994E+05   0.138062E+05   0.910889E+05   0.389272E+06   0.395114E+06   0.389405E+06  -0.475952E+00   0.389965E+06   0.388924E+06   0.145284E+03
   0.975479E-02   0.395113E+06   0.387587E+06   0.142928E+05   0.131901E+05   0.897805E+05   0.388070E+06   0.393915E+06   0.388196E+06  -0.474466E+00   0.388762E+06   0.387701E+06   0.146378E+03
   0.986378E-02   0.393927E+06   0.386250E+06   0.134240E+05   0.126249E+05   0.884717E+05   0.386859E+06   0.392705E+06   0.386977E+06  -0.472968E+00   0.387550E+06   0.386469E+06   0.147474E+03
   0.997399E-02   0.392731E+06   0.384899E+06   0.126007E+05   0.121130E+05   0.871626E+05   0.385637E+06   0.391485E+06   0.385748E+06  -0.471457E+00   0.386327E+06   0.385226E+06   0.148574E+03
   0.100854E-01   0.391525E+06   0.383535E+06   0.118297E+05   0.116562E+05   0.858539E+05   0.384404E+06   0.390254E+06   0.384508E+06  -0.469932E+00   0.385094E+06   0.383972E+06   0.149675E+03
   0.101981E-01   0.390309E+06   0.382158E+06   0.111172E+05   0.112551E+05   0.845462E+05   0.383161E+06   0.389011E+06   0.383258E+06  -0.468396E+00   0.383851E+06   0.382708E+06   0.150779E+03
   0.103121E-01   0.389082E+06   0.380768E+06   0.104687E+05   0.109093E+05   0.832402E+05   0.381907E+06   0.387758E+06   0.381999E+06  -0.466846E+00   0.382598E+06   0.381434E+06   0.151885E+03
   0.104273E-01   0.387844E+06   0.379364E+06   0.988833E+04   0.106176E+05   0.819370E+05   0.380642E+06   0.386495E+06   0.380729E+06  -0.465283E+00   0.381334E+06   0.380149E+06   0.152994E+03
   0.105438E-01   0.386596E+06   0.377947E+06   0.937945E+04   0.103776E+05   0.806375E+05   0.379367E+06   0.385220E+06   0.379449E+06  -0.463708E+00   0.380060E+06   0.378853E+06   0.154103E+03
   0.106616E-01   0.385338E+06   0.376517E+06   0.894407E+04   0.101862E+05   0.793430E+05   0.378080E+06   0.383934E+06   0.378159E+06  -0.462120E+00   0.378776E+06   0.377546E+06   0.155215E+03
   0.107807E-01   0.384069E+06   0.375073E+06   0.858297E+04   0.100392E+05   0.780547E+05   0.376784E+06   0.382637E+06   0.376859E+06  -0.460519E+00   0.377481E+06   0.376229E+06   0.156327E+03
   0.109012E-01   0.382789E+06   0.373615E+06   0.829563E+04   0.993161E+04   0.767739E+05   0.375476E+06   0.381329E+06   0.375549E+06  -0.458906E+00   0.376175E+06   0.374900E+06   0.157441E+03
   0.110230E-01   0.381499E+06   0.372143E+06   0.808020E+04   0.985768E+04   0.755021E+05   0.374158E+06   0.380010E+06   0.374229E+06  -0.457280E+00   0.374859E+06   0.373561E+06   0.158556E+03
   0.111461E-01   0.380198E+06   0.370658E+06   0.793350E+04   0.981112E+04   0.742404E+05   0.372829E+06   0.378680E+06   0.372899E+06  -0.455641E+00   0.373533E+06   0.372210E+06   0.159671E+03
   0.112707E-01   0.378887E+06   0.369159E+06   0.785103E+04   0.978514E+04   0.729904E+05   0.371490E+06   0.377338E+06   0.371559E+06  -0.453990E+00   0.372195E+06   0.370849E+06   0.160786E+03
   0.113966E-01   0.377564E+06   0.367646E+06   0.782710E+04   0.977265E+04   0.717532E+05   0.370139E+06   0.375986E+06   0.370208E+06  -0.452326E+00   0.370847E+06   0.369476E+06   0.161902E+03
   0.115239E-01   0.376231E+06   0.366119E+06   0.785486E+04   0.976643E+04   0.705303E+05   0.368778E+06   0.374622E+06   0.368847E+06  -0.450650E+00   0.369488E+06   0.368092E+06   0.163017E+03
   0.116527E-01   0.374888E+06   0.364578E+06   0.792644E+04   0.975932E+04   0.693227E+05   0.367406E+06   0.373247E+06   0.367476E+06  -0.448961E+00   0.368119E+06   0.366698E+06   0.164132E+03
   0.117829E-01   0.373533E+06   0.363023E+06   0.803314E+04   0.974438E+04   0.681315E+05   0.366024E+06   0.371860E+06   0.366094E+06  -0.447259E+00   0.366738E+06   0.365291E+06   0.165246E+03
   0.119145E-01   0.372168E+06   0.361454E+06   0.816556E+04   0.971513E+04   0.669576E+05   0.364630E+06   0.370463E+06   0.364702E+06  -0.445545E+00   0.365347E+06   0.363874E+06   0.166360E+03
   0.120476E-01   0.370792E+06   0.359871E+06   0.831386E+04   0.966571E+04   0.658019E+05   0.363226E+06   0.369054E+06   0.363299E+06  -0.443819E+00   0.363944E+06   0.362445E+06   0.167471E+03
   0.121823E-01   0.369405E+06   0.358273E+06   0.846796E+04   0.959107E+04   0.646650E+05   0.361811E+06   0.367633E+06   0.361886E+06  -0.442079E+00   0.362531E+06   0.361005E+06   0.168582E+03
   0.123184E-01   0.368007E+06   0.356661E+06   0.861777E+04   0.948711E+04   0.635472E+05   0.360385E+06   0.366201E+06   0.360461E+06  -0.440328E+00   0.361107E+06   0.359554E+06   0.169690E+03
   0.124560E-01   0.366598E+06   0.355035E+06   0.875352E+04   0.935085E+04   0.624490E+05   0.358948E+06   0.364758E+06   0.359025E+06  -0.438563E+00   0.359672E+06   0.358091E+06   0.170796E+03
   0.125952E-01   0.365179E+06   0.353395E+06   0.886592E+04   0.918050E+04   0.613704E+05   0.357501E+06   0.363303E+06   0.357579E+06  -0.436786E+00   0.358226E+06   0.356617E+06   0.171899E+03
