#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.604953E-02   0.132381E+08   0.132343E+08   0.189073E+05   0.189073E+05   0.108152E+08   0.131939E+08   0.132375E+08   0.131939E+08  -0.473037E+00   0.100579E+08   0.100579E+08   0.309100E+01
   0.611712E-02   0.132118E+08   0.132079E+08   0.184533E+05   0.184532E+05   0.107656E+08   0.131672E+08   0.132112E+08   0.131672E+08  -0.472079E+00   0.100377E+08   0.100376E+08   0.311651E+01
   0.618547E-02   0.131853E+08   0.131813E+08   0.180097E+05   0.180096E+05   0.107157E+08   0.131402E+08   0.131846E+08   0.131402E+08  -0.471111E+00   0.100172E+08   0.100172E+08   0.314219E+01
   0.625458E-02   0.131585E+08   0.131544E+08   0.175763E+05   0.175762E+05   0.106655E+08   0.131130E+08   0.131578E+08   0.131130E+08  -0.470135E+00   0.999659E+07   0.999652E+07   0.316805E+01
   0.632446E-02   0.131314E+08   0.131272E+08   0.171529E+05   0.171528E+05   0.106150E+08   0.130855E+08   0.131308E+08   0.130855E+08  -0.469149E+00   0.997575E+07   0.997568E+07   0.319407E+01
   0.639513E-02   0.131041E+08   0.130998E+08   0.167393E+05   0.167393E+05   0.105641E+08   0.130577E+08   0.131034E+08   0.130577E+08  -0.468153E+00   0.995471E+07   0.995464E+07   0.322026E+01
   0.646658E-02   0.130765E+08   0.130721E+08   0.163353E+05   0.163352E+05   0.105130E+08   0.130297E+08   0.130758E+08   0.130297E+08  -0.467149E+00   0.993348E+07   0.993340E+07   0.324663E+01
   0.653883E-02   0.130487E+08   0.130442E+08   0.159406E+05   0.159406E+05   0.104615E+08   0.130014E+08   0.130480E+08   0.130014E+08  -0.466135E+00   0.991204E+07   0.991197E+07   0.327316E+01
   0.661189E-02   0.130206E+08   0.130160E+08   0.155551E+05   0.155550E+05   0.104097E+08   0.129729E+08   0.130199E+08   0.129729E+08  -0.465112E+00   0.989041E+07   0.989034E+07   0.329986E+01
   0.668576E-02   0.129922E+08   0.129876E+08   0.151785E+05   0.151784E+05   0.103575E+08   0.129441E+08   0.129915E+08   0.129441E+08  -0.464079E+00   0.986858E+07   0.986850E+07   0.332674E+01
   0.676046E-02   0.129636E+08   0.129588E+08   0.148106E+05   0.148105E+05   0.103051E+08   0.129150E+08   0.129628E+08   0.129150E+08  -0.463037E+00   0.984655E+07   0.984647E+07   0.335378E+01
   0.683600E-02   0.129347E+08   0.129299E+08   0.144512E+05   0.144512E+05   0.102524E+08   0.128857E+08   0.129339E+08   0.128857E+08  -0.461985E+00   0.982432E+07   0.982424E+07   0.338099E+01
   0.691238E-02   0.129056E+08   0.129006E+08   0.141002E+05   0.141002E+05   0.101993E+08   0.128561E+08   0.129048E+08   0.128561E+08  -0.460924E+00   0.980188E+07   0.980180E+07   0.340836E+01
   0.698961E-02   0.128761E+08   0.128711E+08   0.137574E+05   0.137573E+05   0.101460E+08   0.128262E+08   0.128753E+08   0.128262E+08  -0.459853E+00   0.977924E+07   0.977916E+07   0.343591E+01
   0.706771E-02   0.128465E+08   0.128413E+08   0.134225E+05   0.134225E+05   0.100923E+08   0.127961E+08   0.128456E+08   0.127961E+08  -0.458773E+00   0.975640E+07   0.975632E+07   0.346361E+01
